r1,r2,a1,E
0.8,0.8,90.0,-76.00781592
0.8,0.8,100.0,-76.02264921
0.8,0.8,110.0,-76.03084974
0.8,0.8,120.0,-76.03329576
0.8,0.8,130.0,-76.03116059999999
0.8,0.8,140.0,-76.02591143
0.8,0.8,150.0,-76.01922426
0.8,0.8,160.0,-76.01282781
0.8,0.8,170.0,-76.00826576
0.8,0.8,180.0,-76.00661598
0.8,0.9,90.0,-76.04730325
0.8,0.9,100.0,-76.06008568
0.8,0.9,110.0,-76.06646681
0.8,0.9,120.0,-76.06727083
0.8,0.9,130.0,-76.06365261
0.8,0.9,140.0,-76.05708122
0.8,0.9,150.0,-76.04926131
0.8,0.9,160.0,-76.04197883
0.8,0.9,170.0,-76.03684729
0.8,0.9,180.0,-76.03500059
0.8,1.0,90.0,-76.05583049
0.8,1.0,100.0,-76.06644037
0.8,1.0,110.0,-76.0709113
0.8,1.0,120.0,-76.07003109
0.8,1.0,130.0,-76.06492101
0.8,1.0,140.0,-76.05702115
0.8,1.0,150.0,-76.04803751
0.8,1.0,160.0,-76.03980908
0.8,1.0,170.0,-76.03404547
0.8,1.0,180.0,-76.03197495
0.8,1.1,90.0,-76.04870431
0.8,1.1,100.0,-76.05715369
0.8,1.1,110.0,-76.05976506
0.8,1.1,120.0,-76.05728334
0.8,1.1,130.0,-76.05076349
0.8,1.1,140.0,-76.04157317
0.8,1.1,150.0,-76.03138484
0.8,1.1,160.0,-76.02209363
0.8,1.1,170.0,-76.01556631
0.8,1.1,180.0,-76.01321385
0.8,1.2,90.0,-76.03393678
0.8,1.2,100.0,-76.04036066
0.8,1.2,110.0,-76.04128468
0.8,1.2,120.0,-76.03738968
0.8,1.2,130.0,-76.02962548
0.8,1.2,140.0,-76.01923733
0.8,1.2,150.0,-76.00781555
0.8,1.2,160.0,-75.99730338
0.8,1.2,170.0,-75.98980909
0.8,1.2,180.0,-75.98707967
0.8,1.3,90.0,-76.01579616
0.8,1.3,100.0,-76.02041548
0.8,1.3,110.0,-76.01990274
0.8,1.3,120.0,-76.01485283
0.8,1.3,130.0,-76.00607779
0.8,1.3,140.0,-75.99465189
0.8,1.3,150.0,-75.98201532
0.8,1.3,160.0,-75.97010877
0.8,1.3,170.0,-75.96135984
0.8,1.3,180.0,-75.95810332
0.8,1.4,90.0,-75.99658855
0.8,1.4,100.0,-75.99966685
0.8,1.4,110.0,-75.99800147
0.8,1.4,120.0,-75.99208865
0.8,1.4,130.0,-75.98258556
0.8,1.4,140.0,-75.97035964
0.8,1.4,150.0,-75.95661972
0.8,1.4,160.0,-75.94317772
0.8,1.4,170.0,-75.93277759
0.8,1.4,180.0,-75.9287427
0.8,1.5,90.0,-75.97756034
0.8,1.5,100.0,-75.97936901
0.8,1.5,110.0,-75.97683470000001
0.8,1.5,120.0,-75.97035498
0.8,1.5,130.0,-75.96043443
0.8,1.5,140.0,-75.94772252
0.8,1.5,150.0,-75.93312897
0.8,1.5,160.0,-75.91813667
0.8,1.5,170.0,-75.90557293
0.8,1.5,180.0,-75.90029985
0.9,0.9,90.0,-76.08681449
0.9,0.9,100.0,-76.0978405
0.9,0.9,110.0,-76.10262572
0.9,0.9,120.0,-76.10196117
0.9,0.9,130.0,-76.09698793
0.9,0.9,140.0,-76.08917367
0.9,0.9,150.0,-76.08024927
0.9,0.9,160.0,-76.07206715
0.9,0.9,170.0,-76.06633656
0.9,0.9,180.0,-76.06427838
0.9,1.0,90.0,-76.09539163
0.9,1.0,100.0,-76.10450205
0.9,1.0,110.0,-76.10758766
0.9,1.0,120.0,-76.10541431
0.9,1.0,130.0,-76.09908601
0.9,1.0,140.0,-76.09003118
0.9,1.0,150.0,-76.07997352
0.9,1.0,160.0,-76.07082491
0.9,1.0,170.0,-76.06442121
0.9,1.0,180.0,-76.06211898
0.9,1.1,90.0,-76.08837054
0.9,1.1,100.0,-76.09554293
0.9,1.1,110.0,-76.09696355
0.9,1.1,120.0,-76.09335943
0.9,1.1,130.0,-76.08576057
0.9,1.1,140.0,-76.07550888
0.9,1.1,150.0,-76.06427987
0.9,1.1,160.0,-76.05404156
0.9,1.1,170.0,-76.04681956
0.9,1.1,180.0,-76.04420779
0.9,1.2,90.0,-76.07376504
0.9,1.2,100.0,-76.07910403
0.9,1.2,110.0,-76.07901336
0.9,1.2,120.0,-76.07415672
0.9,1.2,130.0,-76.06545119
0.9,1.2,140.0,-76.05410167
0.9,1.2,150.0,-76.04168105
0.9,1.2,160.0,-76.0301932
0.9,1.2,170.0,-76.02193385
